Category: All categories

Week,ariana grande: (Worldwide)
2021-11-28,82
2021-12-05,93
2021-12-12,80
2021-12-19,88
2021-12-26,100
2022-01-02,71
2022-01-09,59
2022-01-16,54
2022-01-23,55
2022-01-30,52
2022-02-06,48
2022-02-13,55
2022-02-20,46
2022-02-27,45
2022-03-06,43
2022-03-13,46
2022-03-20,48
2022-03-27,47
2022-04-03,55
2022-04-10,52
2022-04-17,50
2022-04-24,44
2022-05-01,49
2022-05-08,44
2022-05-15,39
2022-05-22,46
2022-05-29,41
2022-06-05,40
2022-06-12,42
2022-06-19,42
2022-06-26,52
2022-07-03,43
2022-07-10,42
2022-07-17,44
2022-07-24,41
2022-07-31,40
2022-08-07,45
2022-08-14,45
2022-08-21,46
2022-08-28,38
2022-09-04,37
2022-09-11,37
2022-09-18,39
2022-09-25,37
2022-10-02,35
2022-10-09,36
2022-10-16,36
2022-10-23,39
2022-10-30,38
2022-11-06,40
2022-11-13,45
2022-11-20,47
