Category: All categories

Week,facebook: (Worldwide)
2017-12-03,91
2017-12-10,94
2017-12-17,91
2017-12-24,100
2017-12-31,94
2018-01-07,93
2018-01-14,90
2018-01-21,83
2018-01-28,88
2018-02-04,88
2018-02-11,84
2018-02-18,84
2018-02-25,86
2018-03-04,83
2018-03-11,81
2018-03-18,80
2018-03-25,87
2018-04-01,85
2018-04-08,83
2018-04-15,84
2018-04-22,79
2018-04-29,82
2018-05-06,75
2018-05-13,76
2018-05-20,76
2018-05-27,78
2018-06-03,76
2018-06-10,77
2018-06-17,76
2018-06-24,73
2018-07-01,73
2018-07-08,71
2018-07-15,72
2018-07-22,71
2018-07-29,74
2018-08-05,68
2018-08-12,72
2018-08-19,72
2018-08-26,69
2018-09-02,71
2018-09-09,72
2018-09-16,67
2018-09-23,65
2018-09-30,65
2018-10-07,65
2018-10-14,62
2018-10-21,67
2018-10-28,64
2018-11-04,63
2018-11-11,64
2018-11-18,63
2018-11-25,62
2018-12-02,63
2018-12-09,60
2018-12-16,60
2018-12-23,66
2018-12-30,65
2019-01-06,63
2019-01-13,60
2019-01-20,59
2019-01-27,59
2019-02-03,58
2019-02-10,58
2019-02-17,62
2019-02-24,57
2019-03-03,57
2019-03-10,64
2019-03-17,59
2019-03-24,57
2019-03-31,54
2019-04-07,55
2019-04-14,59
2019-04-21,56
2019-04-28,55
2019-05-05,57
2019-05-12,56
2019-05-19,60
2019-05-26,59
2019-06-02,58
2019-06-09,58
2019-06-16,57
2019-06-23,59
2019-06-30,57
2019-07-07,56
2019-07-14,58
2019-07-21,56
2019-07-28,56
2019-08-04,54
2019-08-11,55
2019-08-18,56
2019-08-25,53
2019-09-01,50
2019-09-08,52
2019-09-15,53
2019-09-22,51
2019-09-29,54
2019-10-06,50
2019-10-13,50
2019-10-20,52
2019-10-27,50
2019-11-03,53
2019-11-10,52
2019-11-17,51
2019-11-24,50
2019-12-01,48
2019-12-08,51
2019-12-15,49
2019-12-22,54
2019-12-29,53
2020-01-05,49
2020-01-12,50
2020-01-19,49
2020-01-26,48
2020-02-02,49
2020-02-09,49
2020-02-16,48
2020-02-23,49
2020-03-01,48
2020-03-08,49
2020-03-15,53
2020-03-22,54
2020-03-29,54
2020-04-05,54
2020-04-12,51
2020-04-19,50
2020-04-26,49
2020-05-03,50
2020-05-10,51
2020-05-17,49
2020-05-24,49
2020-05-31,49
2020-06-07,47
2020-06-14,47
2020-06-21,49
2020-06-28,48
2020-07-05,48
2020-07-12,48
2020-07-19,44
2020-07-26,46
2020-08-02,47
2020-08-09,45
2020-08-16,45
2020-08-23,45
2020-08-30,46
2020-09-06,44
2020-09-13,43
2020-09-20,45
2020-09-27,42
2020-10-04,44
2020-10-11,44
2020-10-18,44
2020-10-25,43
2020-11-01,38
2020-11-08,43
2020-11-15,43
2020-11-22,39
2020-11-29,42
2020-12-06,40
2020-12-13,42
2020-12-20,43
2020-12-27,44
2021-01-03,42
2021-01-10,39
2021-01-17,42
2021-01-24,40
2021-01-31,40
2021-02-07,38
2021-02-14,39
2021-02-21,39
2021-02-28,40
2021-03-07,38
2021-03-14,38
2021-03-21,38
2021-03-28,38
2021-04-04,41
2021-04-11,38
2021-04-18,36
2021-04-25,39
2021-05-02,38
2021-05-09,38
2021-05-16,37
2021-05-23,39
2021-05-30,37
2021-06-06,37
2021-06-13,36
2021-06-20,38
2021-06-27,37
2021-07-04,36
2021-07-11,38
2021-07-18,36
2021-07-25,36
2021-08-01,35
2021-08-08,34
2021-08-15,35
2021-08-22,34
2021-08-29,35
2021-09-05,35
2021-09-12,36
2021-09-19,36
2021-09-26,34
2021-10-03,45
2021-10-10,35
2021-10-17,35
2021-10-24,35
2021-10-31,35
2021-11-07,34
2021-11-14,33
2021-11-21,35
2021-11-28,30
2021-12-05,32
2021-12-12,33
2021-12-19,34
2021-12-26,34
2022-01-02,31
2022-01-09,30
2022-01-16,30
2022-01-23,30
2022-01-30,32
2022-02-06,31
2022-02-13,30
2022-02-20,31
2022-02-27,31
2022-03-06,30
2022-03-13,29
2022-03-20,30
2022-03-27,28
2022-04-03,28
2022-04-10,29
2022-04-17,29
2022-04-24,29
2022-05-01,30
2022-05-08,30
2022-05-15,32
2022-05-22,30
2022-05-29,30
2022-06-05,29
2022-06-12,31
2022-06-19,32
2022-06-26,30
2022-07-03,30
2022-07-10,31
2022-07-17,30
2022-07-24,30
2022-07-31,30
2022-08-07,30
2022-08-14,30
2022-08-21,29
2022-08-28,30
2022-09-04,31
2022-09-11,29
2022-09-18,29
2022-09-25,29
2022-10-02,27
2022-10-09,28
2022-10-16,27
2022-10-23,28
2022-10-30,29
2022-11-06,28
2022-11-13,28
2022-11-20,26
