Category: All categories

Week,youtube: (Worldwide)
2021-11-28,93
2021-12-05,97
2021-12-12,93
2021-12-19,100
2021-12-26,93
2022-01-02,94
2022-01-09,94
2022-01-16,94
2022-01-23,90
2022-01-30,94
2022-02-06,97
2022-02-13,90
2022-02-20,87
2022-02-27,85
2022-03-06,87
2022-03-13,89
2022-03-20,90
2022-03-27,86
2022-04-03,89
2022-04-10,87
2022-04-17,88
2022-04-24,87
2022-05-01,86
2022-05-08,87
2022-05-15,90
2022-05-22,90
2022-05-29,88
2022-06-05,89
2022-06-12,91
2022-06-19,89
2022-06-26,87
2022-07-03,86
2022-07-10,84
2022-07-17,86
2022-07-24,86
2022-07-31,84
2022-08-07,89
2022-08-14,86
2022-08-21,90
2022-08-28,88
2022-09-04,83
2022-09-11,87
2022-09-18,88
2022-09-25,88
2022-10-02,87
2022-10-09,89
2022-10-16,87
2022-10-23,87
2022-10-30,88
2022-11-06,84
2022-11-13,89
2022-11-20,86
