Category: All categories

Week,gmail: (Worldwide)
2017-12-03,94
2017-12-10,99
2017-12-17,90
2017-12-24,72
2017-12-31,79
2018-01-07,91
2018-01-14,90
2018-01-21,93
2018-01-28,94
2018-02-04,91
2018-02-11,91
2018-02-18,92
2018-02-25,98
2018-03-04,94
2018-03-11,100
2018-03-18,98
2018-03-25,90
2018-04-01,89
2018-04-08,90
2018-04-15,85
2018-04-22,84
2018-04-29,82
2018-05-06,87
2018-05-13,90
2018-05-20,87
2018-05-27,84
2018-06-03,90
2018-06-10,79
2018-06-17,77
2018-06-24,77
2018-07-01,75
2018-07-08,75
2018-07-15,65
2018-07-22,72
2018-07-29,76
2018-08-05,69
2018-08-12,69
2018-08-19,67
2018-08-26,74
2018-09-02,76
2018-09-09,81
2018-09-16,79
2018-09-23,79
2018-09-30,78
2018-10-07,72
2018-10-14,73
2018-10-21,73
2018-10-28,70
2018-11-04,75
2018-11-11,80
2018-11-18,72
2018-11-25,77
2018-12-02,76
2018-12-09,70
2018-12-16,66
2018-12-23,51
2018-12-30,53
2019-01-06,69
2019-01-13,69
2019-01-20,68
2019-01-27,70
2019-02-03,68
2019-02-10,72
2019-02-17,72
2019-02-24,66
2019-03-03,66
2019-03-10,69
2019-03-17,68
2019-03-24,64
2019-03-31,69
2019-04-07,68
2019-04-14,58
2019-04-21,65
2019-04-28,64
2019-05-05,71
2019-05-12,71
2019-05-19,70
2019-05-26,68
2019-06-02,71
2019-06-09,68
2019-06-16,69
2019-06-23,64
2019-06-30,64
2019-07-07,65
2019-07-14,59
2019-07-21,63
2019-07-28,62
2019-08-04,61
2019-08-11,63
2019-08-18,69
2019-08-25,69
2019-09-01,73
2019-09-08,71
2019-09-15,73
2019-09-22,78
2019-09-29,77
2019-10-06,76
2019-10-13,75
2019-10-20,73
2019-10-27,69
2019-11-03,72
2019-11-10,73
2019-11-17,73
2019-11-24,69
2019-12-01,71
2019-12-08,71
2019-12-15,66
2019-12-22,51
2019-12-29,54
2020-01-05,64
2020-01-12,66
2020-01-19,65
2020-01-26,68
2020-02-02,68
2020-02-09,74
2020-02-16,70
2020-02-23,67
2020-03-01,75
2020-03-08,72
2020-03-15,86
2020-03-22,88
2020-03-29,95
2020-04-05,79
2020-04-12,84
2020-04-19,91
2020-04-26,87
2020-05-03,91
2020-05-10,90
2020-05-17,85
2020-05-24,80
2020-05-31,81
2020-06-07,79
2020-06-14,75
2020-06-21,74
2020-06-28,71
2020-07-05,71
2020-07-12,71
2020-07-19,67
2020-07-26,65
2020-08-02,66
2020-08-09,66
2020-08-16,74
2020-08-23,80
2020-08-30,77
2020-09-06,81
2020-09-13,79
2020-09-20,81
2020-09-27,74
2020-10-04,72
2020-10-11,64
2020-10-18,67
2020-10-25,64
2020-11-01,64
2020-11-08,71
2020-11-15,70
2020-11-22,69
2020-11-29,71
2020-12-06,68
2020-12-13,67
2020-12-20,53
2020-12-27,52
2021-01-03,64
2021-01-10,64
2021-01-17,66
2021-01-24,64
2021-01-31,65
2021-02-07,65
2021-02-14,62
2021-02-21,68
2021-02-28,68
2021-03-07,65
2021-03-14,65
2021-03-21,71
2021-03-28,61
2021-04-04,63
2021-04-11,68
2021-04-18,62
2021-04-25,58
2021-05-02,61
2021-05-09,60
2021-05-16,61
2021-05-23,62
2021-05-30,59
2021-06-06,62
2021-06-13,61
2021-06-20,58
2021-06-27,58
2021-07-04,58
2021-07-11,58
2021-07-18,54
2021-07-25,52
2021-08-01,52
2021-08-08,49
2021-08-15,51
2021-08-22,54
2021-08-29,56
2021-09-05,56
2021-09-12,58
2021-09-19,58
2021-09-26,57
2021-10-03,60
2021-10-10,55
2021-10-17,55
2021-10-24,52
2021-10-31,52
2021-11-07,52
2021-11-14,55
2021-11-21,58
2021-11-28,63
2021-12-05,53
2021-12-12,55
2021-12-19,49
2021-12-26,48
2022-01-02,61
2022-01-09,65
2022-01-16,66
2022-01-23,64
2022-01-30,68
2022-02-06,70
2022-02-13,63
2022-02-20,62
2022-02-27,60
2022-03-06,63
2022-03-13,63
2022-03-20,61
2022-03-27,65
2022-04-03,65
2022-04-10,59
2022-04-17,60
2022-04-24,65
2022-05-01,61
2022-05-08,65
2022-05-15,65
2022-05-22,68
2022-05-29,65
2022-06-05,67
2022-06-12,64
2022-06-19,64
2022-06-26,61
2022-07-03,57
2022-07-10,58
2022-07-17,57
2022-07-24,60
2022-07-31,59
2022-08-07,59
2022-08-14,54
2022-08-21,61
2022-08-28,61
2022-09-04,58
2022-09-11,64
2022-09-18,62
2022-09-25,63
2022-10-02,62
2022-10-09,58
2022-10-16,60
2022-10-23,58
2022-10-30,60
2022-11-06,60
2022-11-13,61
2022-11-20,52
