Category: All categories

Week,home depot: (Worldwide)
2017-12-03,47
2017-12-10,43
2017-12-17,43
2017-12-24,49
2017-12-31,48
2018-01-07,42
2018-01-14,40
2018-01-21,40
2018-01-28,39
2018-02-04,37
2018-02-11,38
2018-02-18,41
2018-02-25,44
2018-03-04,44
2018-03-11,44
2018-03-18,44
2018-03-25,48
2018-04-01,51
2018-04-08,51
2018-04-15,48
2018-04-22,51
2018-04-29,53
2018-05-06,56
2018-05-13,56
2018-05-20,59
2018-05-27,62
2018-06-03,53
2018-06-10,54
2018-06-17,49
2018-06-24,52
2018-07-01,58
2018-07-08,51
2018-07-15,49
2018-07-22,54
2018-07-29,53
2018-08-05,50
2018-08-12,47
2018-08-19,47
2018-08-26,46
2018-09-02,47
2018-09-09,43
2018-09-16,41
2018-09-23,41
2018-09-30,41
2018-10-07,43
2018-10-14,40
2018-10-21,41
2018-10-28,42
2018-11-04,43
2018-11-11,49
2018-11-18,59
2018-11-25,51
2018-12-02,45
2018-12-09,40
2018-12-16,41
2018-12-23,46
2018-12-30,48
2019-01-06,39
2019-01-13,41
2019-01-20,40
2019-01-27,40
2019-02-03,40
2019-02-10,41
2019-02-17,43
2019-02-24,43
2019-03-03,42
2019-03-10,45
2019-03-17,48
2019-03-24,50
2019-03-31,53
2019-04-07,53
2019-04-14,56
2019-04-21,55
2019-04-28,56
2019-05-05,54
2019-05-12,55
2019-05-19,62
2019-05-26,64
2019-06-02,56
2019-06-09,57
2019-06-16,56
2019-06-23,59
2019-06-30,63
2019-07-07,56
2019-07-14,55
2019-07-21,55
2019-07-28,55
2019-08-04,51
2019-08-11,51
2019-08-18,50
2019-08-25,51
2019-09-01,57
2019-09-08,48
2019-09-15,45
2019-09-22,44
2019-09-29,44
2019-10-06,45
2019-10-13,46
2019-10-20,48
2019-10-27,45
2019-11-03,46
2019-11-10,51
2019-11-17,54
2019-11-24,68
2019-12-01,56
2019-12-08,46
2019-12-15,45
2019-12-22,48
2019-12-29,51
2020-01-05,42
2020-01-12,42
2020-01-19,41
2020-01-26,42
2020-02-02,40
2020-02-09,40
2020-02-16,45
2020-02-23,45
2020-03-01,47
2020-03-08,47
2020-03-15,59
2020-03-22,64
2020-03-29,71
2020-04-05,80
2020-04-12,83
2020-04-19,88
2020-04-26,98
2020-05-03,96
2020-05-10,89
2020-05-17,100
2020-05-24,95
2020-05-31,86
2020-06-07,85
2020-06-14,80
2020-06-21,75
2020-06-28,82
2020-07-05,74
2020-07-12,69
2020-07-19,70
2020-07-26,68
2020-08-02,65
2020-08-09,65
2020-08-16,64
2020-08-23,62
2020-08-30,62
2020-09-06,64
2020-09-13,57
2020-09-20,56
2020-09-27,56
2020-10-04,54
2020-10-11,56
2020-10-18,53
2020-10-25,54
2020-11-01,50
2020-11-08,63
2020-11-15,63
2020-11-22,73
2020-11-29,66
2020-12-06,56
2020-12-13,53
2020-12-20,55
2020-12-27,62
2021-01-03,51
2021-01-10,52
2021-01-17,53
2021-01-24,50
2021-01-31,52
2021-02-07,52
2021-02-14,51
2021-02-21,52
2021-02-28,53
2021-03-07,59
2021-03-14,59
2021-03-21,64
2021-03-28,63
2021-04-04,74
2021-04-11,66
2021-04-18,66
2021-04-25,66
2021-05-02,63
2021-05-09,60
2021-05-16,69
2021-05-23,66
2021-05-30,67
2021-06-06,62
2021-06-13,59
2021-06-20,58
2021-06-27,61
2021-07-04,57
2021-07-11,58
2021-07-18,55
2021-07-25,51
2021-08-01,50
2021-08-08,50
2021-08-15,49
2021-08-22,52
2021-08-29,52
2021-09-05,54
2021-09-12,49
2021-09-19,49
2021-09-26,48
2021-10-03,48
2021-10-10,46
2021-10-17,49
2021-10-24,47
2021-10-31,49
2021-11-07,51
2021-11-14,58
2021-11-21,64
2021-11-28,58
2021-12-05,51
2021-12-12,50
2021-12-19,47
2021-12-26,55
2022-01-02,46
2022-01-09,45
2022-01-16,41
2022-01-23,40
2022-01-30,45
2022-02-06,42
2022-02-13,41
2022-02-20,42
2022-02-27,46
2022-03-06,45
2022-03-13,44
2022-03-20,50
2022-03-27,47
2022-04-03,50
2022-04-10,55
2022-04-17,54
2022-04-24,55
2022-05-01,53
2022-05-08,54
2022-05-15,54
2022-05-22,58
2022-05-29,59
2022-06-05,55
2022-06-12,54
2022-06-19,53
2022-06-26,55
2022-07-03,54
2022-07-10,51
2022-07-17,50
2022-07-24,49
2022-07-31,48
2022-08-07,48
2022-08-14,47
2022-08-21,46
2022-08-28,48
2022-09-04,44
2022-09-11,42
2022-09-18,45
2022-09-25,45
2022-10-02,43
2022-10-09,44
2022-10-16,41
2022-10-23,40
2022-10-30,43
2022-11-06,43
2022-11-13,45
2022-11-20,52
