Category: All categories

Week,google translate: (Worldwide)
2017-12-03,70
2017-12-10,68
2017-12-17,67
2017-12-24,55
2017-12-31,59
2018-01-07,67
2018-01-14,69
2018-01-21,70
2018-01-28,69
2018-02-04,68
2018-02-11,69
2018-02-18,75
2018-02-25,72
2018-03-04,71
2018-03-11,70
2018-03-18,71
2018-03-25,68
2018-04-01,67
2018-04-08,69
2018-04-15,67
2018-04-22,70
2018-04-29,65
2018-05-06,67
2018-05-13,67
2018-05-20,66
2018-05-27,66
2018-06-03,62
2018-06-10,59
2018-06-17,59
2018-06-24,61
2018-07-01,60
2018-07-08,60
2018-07-15,57
2018-07-22,61
2018-07-29,61
2018-08-05,61
2018-08-12,58
2018-08-19,59
2018-08-26,63
2018-09-02,64
2018-09-09,64
2018-09-16,68
2018-09-23,71
2018-09-30,66
2018-10-07,70
2018-10-14,71
2018-10-21,72
2018-10-28,71
2018-11-04,70
2018-11-11,73
2018-11-18,67
2018-11-25,73
2018-12-02,74
2018-12-09,70
2018-12-16,65
2018-12-23,55
2018-12-30,58
2019-01-06,70
2019-01-13,68
2019-01-20,65
2019-01-27,64
2019-02-03,65
2019-02-10,71
2019-02-17,69
2019-02-24,68
2019-03-03,68
2019-03-10,67
2019-03-17,69
2019-03-24,71
2019-03-31,70
2019-04-07,69
2019-04-14,67
2019-04-21,68
2019-04-28,70
2019-05-05,73
2019-05-12,74
2019-05-19,71
2019-05-26,66
2019-06-02,61
2019-06-09,69
2019-06-16,64
2019-06-23,61
2019-06-30,61
2019-07-07,66
2019-07-14,65
2019-07-21,65
2019-07-28,69
2019-08-04,65
2019-08-11,61
2019-08-18,67
2019-08-25,71
2019-09-01,73
2019-09-08,70
2019-09-15,78
2019-09-22,80
2019-09-29,80
2019-10-06,78
2019-10-13,83
2019-10-20,74
2019-10-27,77
2019-11-03,82
2019-11-10,77
2019-11-17,83
2019-11-24,76
2019-12-01,81
2019-12-08,79
2019-12-15,82
2019-12-22,66
2019-12-29,69
2020-01-05,80
2020-01-12,79
2020-01-19,78
2020-01-26,82
2020-02-02,82
2020-02-09,83
2020-02-16,82
2020-02-23,83
2020-03-01,83
2020-03-08,81
2020-03-15,89
2020-03-22,91
2020-03-29,89
2020-04-05,90
2020-04-12,86
2020-04-19,90
2020-04-26,89
2020-05-03,90
2020-05-10,90
2020-05-17,86
2020-05-24,79
2020-05-31,86
2020-06-07,81
2020-06-14,76
2020-06-21,75
2020-06-28,74
2020-07-05,73
2020-07-12,75
2020-07-19,77
2020-07-26,71
2020-08-02,76
2020-08-09,74
2020-08-16,74
2020-08-23,80
2020-08-30,87
2020-09-06,94
2020-09-13,95
2020-09-20,90
2020-09-27,90
2020-10-04,91
2020-10-11,87
2020-10-18,86
2020-10-25,81
2020-11-01,81
2020-11-08,84
2020-11-15,89
2020-11-22,85
2020-11-29,89
2020-12-06,85
2020-12-13,82
2020-12-20,76
2020-12-27,70
2021-01-03,80
2021-01-10,85
2021-01-17,90
2021-01-24,85
2021-01-31,83
2021-02-07,84
2021-02-14,86
2021-02-21,87
2021-02-28,86
2021-03-07,81
2021-03-14,86
2021-03-21,82
2021-03-28,81
2021-04-04,83
2021-04-11,80
2021-04-18,81
2021-04-25,78
2021-05-02,78
2021-05-09,74
2021-05-16,82
2021-05-23,79
2021-05-30,79
2021-06-06,79
2021-06-13,77
2021-06-20,75
2021-06-27,75
2021-07-04,74
2021-07-11,76
2021-07-18,74
2021-07-25,77
2021-08-01,75
2021-08-08,73
2021-08-15,75
2021-08-22,78
2021-08-29,79
2021-09-05,78
2021-09-12,83
2021-09-19,86
2021-09-26,81
2021-10-03,82
2021-10-10,86
2021-10-17,83
2021-10-24,82
2021-10-31,80
2021-11-07,80
2021-11-14,85
2021-11-21,81
2021-11-28,81
2021-12-05,82
2021-12-12,82
2021-12-19,76
2021-12-26,73
2022-01-02,84
2022-01-09,88
2022-01-16,86
2022-01-23,86
2022-01-30,88
2022-02-06,89
2022-02-13,88
2022-02-20,90
2022-02-27,86
2022-03-06,92
2022-03-13,88
2022-03-20,85
2022-03-27,92
2022-04-03,92
2022-04-10,88
2022-04-17,90
2022-04-24,90
2022-05-01,84
2022-05-08,93
2022-05-15,91
2022-05-22,90
2022-05-29,88
2022-06-05,92
2022-06-12,93
2022-06-19,91
2022-06-26,83
2022-07-03,81
2022-07-10,81
2022-07-17,83
2022-07-24,84
2022-07-31,84
2022-08-07,84
2022-08-14,83
2022-08-21,87
2022-08-28,97
2022-09-04,90
2022-09-11,95
2022-09-18,100
2022-09-25,94
2022-10-02,90
2022-10-09,93
2022-10-16,92
2022-10-23,90
2022-10-30,94
2022-11-06,93
2022-11-13,94
2022-11-20,86
