Category: All categories

Week,yahoo mail: (Worldwide)
2017-12-03,98
2017-12-10,100
2017-12-17,96
2017-12-24,82
2017-12-31,87
2018-01-07,99
2018-01-14,97
2018-01-21,94
2018-01-28,96
2018-02-04,98
2018-02-11,98
2018-02-18,94
2018-02-25,96
2018-03-04,94
2018-03-11,92
2018-03-18,91
2018-03-25,90
2018-04-01,90
2018-04-08,88
2018-04-15,90
2018-04-22,88
2018-04-29,82
2018-05-06,77
2018-05-13,76
2018-05-20,79
2018-05-27,75
2018-06-03,75
2018-06-10,71
2018-06-17,71
2018-06-24,74
2018-07-01,69
2018-07-08,73
2018-07-15,68
2018-07-22,71
2018-07-29,72
2018-08-05,65
2018-08-12,61
2018-08-19,60
2018-08-26,65
2018-09-02,63
2018-09-09,67
2018-09-16,64
2018-09-23,63
2018-09-30,61
2018-10-07,64
2018-10-14,62
2018-10-21,61
2018-10-28,59
2018-11-04,63
2018-11-11,65
2018-11-18,61
2018-11-25,62
2018-12-02,63
2018-12-09,63
2018-12-16,62
2018-12-23,50
2018-12-30,53
2019-01-06,64
2019-01-13,61
2019-01-20,57
2019-01-27,63
2019-02-03,59
2019-02-10,58
2019-02-17,59
2019-02-24,56
2019-03-03,56
2019-03-10,60
2019-03-17,57
2019-03-24,56
2019-03-31,54
2019-04-07,58
2019-04-14,54
2019-04-21,60
2019-04-28,54
2019-05-05,54
2019-05-12,56
2019-05-19,57
2019-05-26,53
2019-06-02,54
2019-06-09,57
2019-06-16,58
2019-06-23,61
2019-06-30,59
2019-07-07,61
2019-07-14,62
2019-07-21,62
2019-07-28,63
2019-08-04,63
2019-08-11,59
2019-08-18,63
2019-08-25,62
2019-09-01,69
2019-09-08,64
2019-09-15,62
2019-09-22,63
2019-09-29,65
2019-10-06,64
2019-10-13,66
2019-10-20,64
2019-10-27,63
2019-11-03,64
2019-11-10,65
2019-11-17,68
2019-11-24,64
2019-12-01,68
2019-12-08,68
2019-12-15,67
2019-12-22,56
2019-12-29,58
2020-01-05,67
2020-01-12,67
2020-01-19,67
2020-01-26,67
2020-02-02,70
2020-02-09,70
2020-02-16,68
2020-02-23,68
2020-03-01,71
2020-03-08,66
2020-03-15,72
2020-03-22,68
2020-03-29,72
2020-04-05,72
2020-04-12,71
2020-04-19,72
2020-04-26,75
2020-05-03,78
2020-05-10,74
2020-05-17,75
2020-05-24,72
2020-05-31,75
2020-06-07,74
2020-06-14,76
2020-06-21,77
2020-06-28,85
2020-07-05,78
2020-07-12,72
2020-07-19,69
2020-07-26,63
2020-08-02,59
2020-08-09,60
2020-08-16,61
2020-08-23,64
2020-08-30,76
2020-09-06,76
2020-09-13,72
2020-09-20,71
2020-09-27,72
2020-10-04,73
2020-10-11,71
2020-10-18,71
2020-10-25,68
2020-11-01,67
2020-11-08,69
2020-11-15,74
2020-11-22,72
2020-11-29,74
2020-12-06,72
2020-12-13,75
2020-12-20,62
2020-12-27,62
2021-01-03,74
2021-01-10,68
2021-01-17,73
2021-01-24,72
2021-01-31,73
2021-02-07,74
2021-02-14,74
2021-02-21,75
2021-02-28,78
2021-03-07,74
2021-03-14,72
2021-03-21,77
2021-03-28,73
2021-04-04,71
2021-04-11,73
2021-04-18,70
2021-04-25,68
2021-05-02,67
2021-05-09,70
2021-05-16,73
2021-05-23,71
2021-05-30,71
2021-06-06,72
2021-06-13,69
2021-06-20,72
2021-06-27,70
2021-07-04,71
2021-07-11,71
2021-07-18,70
2021-07-25,69
2021-08-01,67
2021-08-08,63
2021-08-15,65
2021-08-22,71
2021-08-29,70
2021-09-05,68
2021-09-12,71
2021-09-19,73
2021-09-26,67
2021-10-03,70
2021-10-10,67
2021-10-17,69
2021-10-24,68
2021-10-31,64
2021-11-07,65
2021-11-14,72
2021-11-21,66
2021-11-28,67
2021-12-05,69
2021-12-12,70
2021-12-19,61
2021-12-26,58
2022-01-02,60
2022-01-09,59
2022-01-16,54
2022-01-23,56
2022-01-30,63
2022-02-06,62
2022-02-13,58
2022-02-20,54
2022-02-27,58
2022-03-06,56
2022-03-13,58
2022-03-20,54
2022-03-27,54
2022-04-03,56
2022-04-10,53
2022-04-17,52
2022-04-24,53
2022-05-01,54
2022-05-08,55
2022-05-15,59
2022-05-22,57
2022-05-29,57
2022-06-05,57
2022-06-12,59
2022-06-19,59
2022-06-26,59
2022-07-03,57
2022-07-10,59
2022-07-17,57
2022-07-24,55
2022-07-31,56
2022-08-07,55
2022-08-14,54
2022-08-21,54
2022-08-28,55
2022-09-04,56
2022-09-11,56
2022-09-18,57
2022-09-25,58
2022-10-02,56
2022-10-09,55
2022-10-16,55
2022-10-23,53
2022-10-30,53
2022-11-06,53
2022-11-13,57
2022-11-20,50
