Category: All categories

Week,costco: (Worldwide)
2017-12-03,61
2017-12-10,64
2017-12-17,69
2017-12-24,68
2017-12-31,62
2018-01-07,51
2018-01-14,50
2018-01-21,47
2018-01-28,48
2018-02-04,47
2018-02-11,47
2018-02-18,51
2018-02-25,49
2018-03-04,51
2018-03-11,51
2018-03-18,48
2018-03-25,58
2018-04-01,54
2018-04-08,50
2018-04-15,52
2018-04-22,50
2018-04-29,53
2018-05-06,52
2018-05-13,52
2018-05-20,55
2018-05-27,61
2018-06-03,56
2018-06-10,53
2018-06-17,53
2018-06-24,57
2018-07-01,59
2018-07-08,59
2018-07-15,58
2018-07-22,56
2018-07-29,58
2018-08-05,56
2018-08-12,53
2018-08-19,52
2018-08-26,52
2018-09-02,61
2018-09-09,50
2018-09-16,49
2018-09-23,49
2018-09-30,51
2018-10-07,51
2018-10-14,51
2018-10-21,51
2018-10-28,54
2018-11-04,56
2018-11-11,68
2018-11-18,82
2018-11-25,68
2018-12-02,62
2018-12-09,63
2018-12-16,71
2018-12-23,79
2018-12-30,70
2019-01-06,55
2019-01-13,53
2019-01-20,53
2019-01-27,54
2019-02-03,49
2019-02-10,49
2019-02-17,53
2019-02-24,51
2019-03-03,55
2019-03-10,52
2019-03-17,55
2019-03-24,53
2019-03-31,56
2019-04-07,53
2019-04-14,63
2019-04-21,60
2019-04-28,60
2019-05-05,57
2019-05-12,59
2019-05-19,60
2019-05-26,65
2019-06-02,58
2019-06-09,59
2019-06-16,62
2019-06-23,59
2019-06-30,68
2019-07-07,58
2019-07-14,62
2019-07-21,60
2019-07-28,60
2019-08-04,64
2019-08-11,58
2019-08-18,59
2019-08-25,59
2019-09-01,66
2019-09-08,53
2019-09-15,56
2019-09-22,54
2019-09-29,57
2019-10-06,57
2019-10-13,58
2019-10-20,56
2019-10-27,60
2019-11-03,65
2019-11-10,72
2019-11-17,75
2019-11-24,100
2019-12-01,74
2019-12-08,69
2019-12-15,74
2019-12-22,85
2019-12-29,75
2020-01-05,57
2020-01-12,52
2020-01-19,56
2020-01-26,52
2020-02-02,51
2020-02-09,54
2020-02-16,57
2020-02-23,58
2020-03-01,67
2020-03-08,80
2020-03-15,93
2020-03-22,80
2020-03-29,76
2020-04-05,86
2020-04-12,79
2020-04-19,76
2020-04-26,79
2020-05-03,77
2020-05-10,69
2020-05-17,76
2020-05-24,76
2020-05-31,67
2020-06-07,64
2020-06-14,66
2020-06-21,69
2020-06-28,76
2020-07-05,67
2020-07-12,66
2020-07-19,67
2020-07-26,65
2020-08-02,68
2020-08-09,64
2020-08-16,62
2020-08-23,60
2020-08-30,61
2020-09-06,66
2020-09-13,60
2020-09-20,59
2020-09-27,59
2020-10-04,56
2020-10-11,64
2020-10-18,58
2020-10-25,59
2020-11-01,59
2020-11-08,77
2020-11-15,81
2020-11-22,92
2020-11-29,76
2020-12-06,71
2020-12-13,72
2020-12-20,78
2020-12-27,77
2021-01-03,60
2021-01-10,58
2021-01-17,59
2021-01-24,57
2021-01-31,58
2021-02-07,56
2021-02-14,59
2021-02-21,58
2021-02-28,60
2021-03-07,59
2021-03-14,58
2021-03-21,59
2021-03-28,66
2021-04-04,67
2021-04-11,60
2021-04-18,59
2021-04-25,59
2021-05-02,63
2021-05-09,63
2021-05-16,62
2021-05-23,63
2021-05-30,68
2021-06-06,61
2021-06-13,64
2021-06-20,65
2021-06-27,70
2021-07-04,66
2021-07-11,62
2021-07-18,63
2021-07-25,62
2021-08-01,62
2021-08-08,62
2021-08-15,59
2021-08-22,62
2021-08-29,62
2021-09-05,64
2021-09-12,56
2021-09-19,59
2021-09-26,60
2021-10-03,60
2021-10-10,66
2021-10-17,62
2021-10-24,64
2021-10-31,66
2021-11-07,74
2021-11-14,78
2021-11-21,92
2021-11-28,76
2021-12-05,74
2021-12-12,73
2021-12-19,85
2021-12-26,85
2022-01-02,63
2022-01-09,60
2022-01-16,58
2022-01-23,57
2022-01-30,60
2022-02-06,58
2022-02-13,56
2022-02-20,60
2022-02-27,58
2022-03-06,68
2022-03-13,64
2022-03-20,59
2022-03-27,58
2022-04-03,60
2022-04-10,65
2022-04-17,65
2022-04-24,62
2022-05-01,66
2022-05-08,61
2022-05-15,64
2022-05-22,63
2022-05-29,69
2022-06-05,68
2022-06-12,66
2022-06-19,66
2022-06-26,69
2022-07-03,68
2022-07-10,66
2022-07-17,62
2022-07-24,64
2022-07-31,66
2022-08-07,62
2022-08-14,61
2022-08-21,62
2022-08-28,63
2022-09-04,64
2022-09-11,60
2022-09-18,63
2022-09-25,61
2022-10-02,59
2022-10-09,62
2022-10-16,58
2022-10-23,61
2022-10-30,64
2022-11-06,67
2022-11-13,72
2022-11-20,81
