Category: All categories

Week,amazon: (Worldwide)
2021-11-28,97
2021-12-05,100
2021-12-12,95
2021-12-19,87
2021-12-26,88
2022-01-02,86
2022-01-09,82
2022-01-16,83
2022-01-23,79
2022-01-30,80
2022-02-06,79
2022-02-13,80
2022-02-20,76
2022-02-27,73
2022-03-06,76
2022-03-13,72
2022-03-20,76
2022-03-27,75
2022-04-03,78
2022-04-10,73
2022-04-17,76
2022-04-24,79
2022-05-01,80
2022-05-08,73
2022-05-15,75
2022-05-22,69
2022-05-29,75
2022-06-05,78
2022-06-12,80
2022-06-19,76
2022-06-26,81
2022-07-03,80
2022-07-10,99
2022-07-17,80
2022-07-24,78
2022-07-31,80
2022-08-07,81
2022-08-14,79
2022-08-21,78
2022-08-28,83
2022-09-04,81
2022-09-11,78
2022-09-18,85
2022-09-25,82
2022-10-02,83
2022-10-09,86
2022-10-16,78
2022-10-23,79
2022-10-30,83
2022-11-06,81
2022-11-13,94
2022-11-20,97
