Category: All categories

Week,starbucks: (Worldwide)
2017-12-03,60
2017-12-10,60
2017-12-17,63
2017-12-24,82
2017-12-31,64
2018-01-07,55
2018-01-14,52
2018-01-21,53
2018-01-28,53
2018-02-04,49
2018-02-11,49
2018-02-18,50
2018-02-25,53
2018-03-04,54
2018-03-11,51
2018-03-18,54
2018-03-25,58
2018-04-01,60
2018-04-08,58
2018-04-15,92
2018-04-22,60
2018-04-29,59
2018-05-06,58
2018-05-13,56
2018-05-20,57
2018-05-27,63
2018-06-03,58
2018-06-10,57
2018-06-17,56
2018-06-24,59
2018-07-01,55
2018-07-08,60
2018-07-15,60
2018-07-22,60
2018-07-29,59
2018-08-05,60
2018-08-12,59
2018-08-19,63
2018-08-26,63
2018-09-02,69
2018-09-09,58
2018-09-16,56
2018-09-23,59
2018-09-30,58
2018-10-07,57
2018-10-14,59
2018-10-21,63
2018-10-28,74
2018-11-04,67
2018-11-11,63
2018-11-18,70
2018-11-25,59
2018-12-02,66
2018-12-09,66
2018-12-16,68
2018-12-23,86
2018-12-30,67
2019-01-06,60
2019-01-13,56
2019-01-20,55
2019-01-27,59
2019-02-03,54
2019-02-10,56
2019-02-17,56
2019-02-24,57
2019-03-03,60
2019-03-10,56
2019-03-17,59
2019-03-24,58
2019-03-31,59
2019-04-07,58
2019-04-14,63
2019-04-21,65
2019-04-28,70
2019-05-05,98
2019-05-12,72
2019-05-19,67
2019-05-26,60
2019-06-02,64
2019-06-09,65
2019-06-16,64
2019-06-23,68
2019-06-30,64
2019-07-07,75
2019-07-14,69
2019-07-21,69
2019-07-28,72
2019-08-04,65
2019-08-11,66
2019-08-18,70
2019-08-25,70
2019-09-01,69
2019-09-08,68
2019-09-15,64
2019-09-22,66
2019-09-29,66
2019-10-06,63
2019-10-13,64
2019-10-20,64
2019-10-27,64
2019-11-03,84
2019-11-10,73
2019-11-17,70
2019-11-24,75
2019-12-01,70
2019-12-08,68
2019-12-15,68
2019-12-22,100
2019-12-29,79
2020-01-05,63
2020-01-12,63
2020-01-19,63
2020-01-26,60
2020-02-02,58
2020-02-09,61
2020-02-16,63
2020-02-23,61
2020-03-01,64
2020-03-08,58
2020-03-15,56
2020-03-22,55
2020-03-29,44
2020-04-05,42
2020-04-12,46
2020-04-19,46
2020-04-26,50
2020-05-03,57
2020-05-10,57
2020-05-17,70
2020-05-24,71
2020-05-31,68
2020-06-07,71
2020-06-14,66
2020-06-21,72
2020-06-28,63
2020-07-05,61
2020-07-12,64
2020-07-19,62
2020-07-26,63
2020-08-02,61
2020-08-09,63
2020-08-16,65
2020-08-23,68
2020-08-30,65
2020-09-06,65
2020-09-13,62
2020-09-20,61
2020-09-27,64
2020-10-04,61
2020-10-11,59
2020-10-18,59
2020-10-25,55
2020-11-01,68
2020-11-08,70
2020-11-15,66
2020-11-22,72
2020-11-29,67
2020-12-06,66
2020-12-13,68
2020-12-20,88
2020-12-27,78
2021-01-03,64
2021-01-10,58
2021-01-17,57
2021-01-24,56
2021-01-31,55
2021-02-07,52
2021-02-14,59
2021-02-21,60
2021-02-28,66
2021-03-07,61
2021-03-14,59
2021-03-21,63
2021-03-28,66
2021-04-04,70
2021-04-11,61
2021-04-18,61
2021-04-25,61
2021-05-02,59
2021-05-09,65
2021-05-16,64
2021-05-23,61
2021-05-30,65
2021-06-06,60
2021-06-13,61
2021-06-20,62
2021-06-27,62
2021-07-04,63
2021-07-11,64
2021-07-18,67
2021-07-25,64
2021-08-01,64
2021-08-08,64
2021-08-15,68
2021-08-22,79
2021-08-29,71
2021-09-05,66
2021-09-12,67
2021-09-19,69
2021-09-26,72
2021-10-03,68
2021-10-10,65
2021-10-17,69
2021-10-24,66
2021-10-31,81
2021-11-07,82
2021-11-14,89
2021-11-21,84
2021-11-28,67
2021-12-05,70
2021-12-12,71
2021-12-19,94
2021-12-26,90
2022-01-02,65
2022-01-09,61
2022-01-16,57
2022-01-23,57
2022-01-30,59
2022-02-06,58
2022-02-13,54
2022-02-20,58
2022-02-27,58
2022-03-06,54
2022-03-13,57
2022-03-20,60
2022-03-27,55
2022-04-03,58
2022-04-10,61
2022-04-17,61
2022-04-24,58
2022-05-01,62
2022-05-08,64
2022-05-15,63
2022-05-22,63
2022-05-29,64
2022-06-05,65
2022-06-12,63
2022-06-19,69
2022-06-26,64
2022-07-03,67
2022-07-10,70
2022-07-17,65
2022-07-24,65
2022-07-31,63
2022-08-07,67
2022-08-14,65
2022-08-21,66
2022-08-28,68
2022-09-04,69
2022-09-11,66
2022-09-18,65
2022-09-25,69
2022-10-02,65
2022-10-09,64
2022-10-16,61
2022-10-23,61
2022-10-30,73
2022-11-06,72
2022-11-13,82
2022-11-20,74
