Category: All categories

Week,translate: (Worldwide)
2017-12-03,61
2017-12-10,59
2017-12-17,55
2017-12-24,49
2017-12-31,51
2018-01-07,56
2018-01-14,60
2018-01-21,59
2018-01-28,60
2018-02-04,58
2018-02-11,57
2018-02-18,54
2018-02-25,59
2018-03-04,58
2018-03-11,55
2018-03-18,59
2018-03-25,55
2018-04-01,57
2018-04-08,56
2018-04-15,58
2018-04-22,61
2018-04-29,56
2018-05-06,59
2018-05-13,59
2018-05-20,57
2018-05-27,55
2018-06-03,54
2018-06-10,51
2018-06-17,52
2018-06-24,52
2018-07-01,52
2018-07-08,54
2018-07-15,52
2018-07-22,53
2018-07-29,55
2018-08-05,51
2018-08-12,53
2018-08-19,52
2018-08-26,55
2018-09-02,56
2018-09-09,59
2018-09-16,58
2018-09-23,59
2018-09-30,58
2018-10-07,60
2018-10-14,62
2018-10-21,62
2018-10-28,60
2018-11-04,62
2018-11-11,63
2018-11-18,57
2018-11-25,62
2018-12-02,65
2018-12-09,61
2018-12-16,56
2018-12-23,50
2018-12-30,53
2019-01-06,61
2019-01-13,59
2019-01-20,60
2019-01-27,59
2019-02-03,59
2019-02-10,65
2019-02-17,62
2019-02-24,62
2019-03-03,64
2019-03-10,61
2019-03-17,62
2019-03-24,63
2019-03-31,62
2019-04-07,65
2019-04-14,59
2019-04-21,63
2019-04-28,63
2019-05-05,64
2019-05-12,63
2019-05-19,63
2019-05-26,61
2019-06-02,57
2019-06-09,60
2019-06-16,63
2019-06-23,58
2019-06-30,62
2019-07-07,61
2019-07-14,60
2019-07-21,63
2019-07-28,65
2019-08-04,61
2019-08-11,59
2019-08-18,62
2019-08-25,66
2019-09-01,66
2019-09-08,68
2019-09-15,71
2019-09-22,71
2019-09-29,69
2019-10-06,71
2019-10-13,73
2019-10-20,74
2019-10-27,67
2019-11-03,70
2019-11-10,72
2019-11-17,76
2019-11-24,68
2019-12-01,74
2019-12-08,72
2019-12-15,71
2019-12-22,63
2019-12-29,65
2020-01-05,72
2020-01-12,72
2020-01-19,70
2020-01-26,73
2020-02-02,75
2020-02-09,74
2020-02-16,76
2020-02-23,75
2020-03-01,76
2020-03-08,74
2020-03-15,80
2020-03-22,84
2020-03-29,85
2020-04-05,81
2020-04-12,82
2020-04-19,83
2020-04-26,81
2020-05-03,81
2020-05-10,81
2020-05-17,76
2020-05-24,73
2020-05-31,82
2020-06-07,79
2020-06-14,77
2020-06-21,73
2020-06-28,71
2020-07-05,70
2020-07-12,75
2020-07-19,77
2020-07-26,72
2020-08-02,73
2020-08-09,74
2020-08-16,73
2020-08-23,79
2020-08-30,84
2020-09-06,83
2020-09-13,88
2020-09-20,85
2020-09-27,84
2020-10-04,86
2020-10-11,88
2020-10-18,84
2020-10-25,79
2020-11-01,77
2020-11-08,80
2020-11-15,86
2020-11-22,81
2020-11-29,85
2020-12-06,82
2020-12-13,79
2020-12-20,73
2020-12-27,70
2021-01-03,76
2021-01-10,83
2021-01-17,83
2021-01-24,84
2021-01-31,84
2021-02-07,82
2021-02-14,85
2021-02-21,84
2021-02-28,86
2021-03-07,79
2021-03-14,78
2021-03-21,81
2021-03-28,77
2021-04-04,81
2021-04-11,80
2021-04-18,76
2021-04-25,76
2021-05-02,77
2021-05-09,76
2021-05-16,78
2021-05-23,76
2021-05-30,80
2021-06-06,79
2021-06-13,76
2021-06-20,77
2021-06-27,76
2021-07-04,74
2021-07-11,77
2021-07-18,73
2021-07-25,77
2021-08-01,76
2021-08-08,77
2021-08-15,77
2021-08-22,78
2021-08-29,80
2021-09-05,81
2021-09-12,85
2021-09-19,89
2021-09-26,78
2021-10-03,85
2021-10-10,85
2021-10-17,81
2021-10-24,80
2021-10-31,87
2021-11-07,82
2021-11-14,86
2021-11-21,81
2021-11-28,82
2021-12-05,82
2021-12-12,85
2021-12-19,82
2021-12-26,78
2022-01-02,86
2022-01-09,88
2022-01-16,89
2022-01-23,86
2022-01-30,92
2022-02-06,89
2022-02-13,96
2022-02-20,92
2022-02-27,94
2022-03-06,94
2022-03-13,90
2022-03-20,88
2022-03-27,95
2022-04-03,95
2022-04-10,84
2022-04-17,88
2022-04-24,87
2022-05-01,80
2022-05-08,94
2022-05-15,94
2022-05-22,94
2022-05-29,92
2022-06-05,95
2022-06-12,92
2022-06-19,94
2022-06-26,89
2022-07-03,88
2022-07-10,86
2022-07-17,87
2022-07-24,92
2022-07-31,89
2022-08-07,87
2022-08-14,86
2022-08-21,91
2022-08-28,93
2022-09-04,96
2022-09-11,99
2022-09-18,97
2022-09-25,93
2022-10-02,95
2022-10-09,98
2022-10-16,98
2022-10-23,92
2022-10-30,100
2022-11-06,97
2022-11-13,100
2022-11-20,91
