Category: All categories

Week,instagram: (Worldwide)
2017-12-03,60
2017-12-10,61
2017-12-17,64
2017-12-24,67
2017-12-31,71
2018-01-07,64
2018-01-14,67
2018-01-21,64
2018-01-28,63
2018-02-04,64
2018-02-11,64
2018-02-18,66
2018-02-25,67
2018-03-04,65
2018-03-11,67
2018-03-18,67
2018-03-25,69
2018-04-01,70
2018-04-08,64
2018-04-15,66
2018-04-22,67
2018-04-29,67
2018-05-06,68
2018-05-13,66
2018-05-20,70
2018-05-27,71
2018-06-03,72
2018-06-10,68
2018-06-17,71
2018-06-24,72
2018-07-01,69
2018-07-08,76
2018-07-15,69
2018-07-22,73
2018-07-29,73
2018-08-05,73
2018-08-12,77
2018-08-19,73
2018-08-26,73
2018-09-02,72
2018-09-09,72
2018-09-16,68
2018-09-23,70
2018-09-30,68
2018-10-07,69
2018-10-14,69
2018-10-21,69
2018-10-28,70
2018-11-04,68
2018-11-11,71
2018-11-18,66
2018-11-25,71
2018-12-02,70
2018-12-09,70
2018-12-16,66
2018-12-23,77
2018-12-30,86
2019-01-06,73
2019-01-13,77
2019-01-20,74
2019-01-27,74
2019-02-03,73
2019-02-10,74
2019-02-17,74
2019-02-24,70
2019-03-03,74
2019-03-10,81
2019-03-17,72
2019-03-24,73
2019-03-31,72
2019-04-07,66
2019-04-14,76
2019-04-21,75
2019-04-28,78
2019-05-05,76
2019-05-12,77
2019-05-19,76
2019-05-26,79
2019-06-02,83
2019-06-09,88
2019-06-16,81
2019-06-23,83
2019-06-30,90
2019-07-07,85
2019-07-14,84
2019-07-21,87
2019-07-28,89
2019-08-04,86
2019-08-11,84
2019-08-18,89
2019-08-25,81
2019-09-01,87
2019-09-08,83
2019-09-15,86
2019-09-22,79
2019-09-29,79
2019-10-06,89
2019-10-13,85
2019-10-20,79
2019-10-27,84
2019-11-03,80
2019-11-10,78
2019-11-17,79
2019-11-24,76
2019-12-01,77
2019-12-08,77
2019-12-15,80
2019-12-22,83
2019-12-29,93
2020-01-05,85
2020-01-12,82
2020-01-19,80
2020-01-26,81
2020-02-02,79
2020-02-09,83
2020-02-16,82
2020-02-23,81
2020-03-01,75
2020-03-08,73
2020-03-15,84
2020-03-22,90
2020-03-29,89
2020-04-05,91
2020-04-12,91
2020-04-19,89
2020-04-26,91
2020-05-03,92
2020-05-10,94
2020-05-17,90
2020-05-24,91
2020-05-31,92
2020-06-07,86
2020-06-14,90
2020-06-21,89
2020-06-28,93
2020-07-05,90
2020-07-12,91
2020-07-19,92
2020-07-26,92
2020-08-02,85
2020-08-09,85
2020-08-16,86
2020-08-23,84
2020-08-30,86
2020-09-06,85
2020-09-13,87
2020-09-20,85
2020-09-27,84
2020-10-04,82
2020-10-11,88
2020-10-18,84
2020-10-25,81
2020-11-01,76
2020-11-08,84
2020-11-15,82
2020-11-22,80
2020-11-29,80
2020-12-06,82
2020-12-13,80
2020-12-20,84
2020-12-27,94
2021-01-03,83
2021-01-10,79
2021-01-17,82
2021-01-24,78
2021-01-31,81
2021-02-07,79
2021-02-14,83
2021-02-21,81
2021-02-28,79
2021-03-07,78
2021-03-14,80
2021-03-21,82
2021-03-28,82
2021-04-04,83
2021-04-11,81
2021-04-18,82
2021-04-25,79
2021-05-02,83
2021-05-09,82
2021-05-16,84
2021-05-23,84
2021-05-30,82
2021-06-06,79
2021-06-13,79
2021-06-20,82
2021-06-27,80
2021-07-04,82
2021-07-11,83
2021-07-18,86
2021-07-25,81
2021-08-01,82
2021-08-08,84
2021-08-15,80
2021-08-22,82
2021-08-29,80
2021-09-05,80
2021-09-12,80
2021-09-19,76
2021-09-26,77
2021-10-03,100
2021-10-10,84
2021-10-17,78
2021-10-24,76
2021-10-31,78
2021-11-07,78
2021-11-14,81
2021-11-21,76
2021-11-28,75
2021-12-05,78
2021-12-12,81
2021-12-19,77
2021-12-26,87
2022-01-02,78
2022-01-09,75
2022-01-16,74
2022-01-23,73
2022-01-30,79
2022-02-06,78
2022-02-13,80
2022-02-20,80
2022-02-27,79
2022-03-06,75
2022-03-13,78
2022-03-20,77
2022-03-27,83
2022-04-03,81
2022-04-10,85
2022-04-17,88
2022-04-24,86
2022-05-01,87
2022-05-08,88
2022-05-15,90
2022-05-22,93
2022-05-29,89
2022-06-05,85
2022-06-12,90
2022-06-19,91
2022-06-26,87
2022-07-03,89
2022-07-10,91
2022-07-17,92
2022-07-24,89
2022-07-31,90
2022-08-07,96
2022-08-14,91
2022-08-21,91
2022-08-28,89
2022-09-04,85
2022-09-11,85
2022-09-18,86
2022-09-25,86
2022-10-02,90
2022-10-09,82
2022-10-16,80
2022-10-23,86
2022-10-30,93
2022-11-06,86
2022-11-13,80
2022-11-20,81
