Category: All categories

Week,Google maps: (Worldwide)
2017-12-03,91
2017-12-10,91
2017-12-17,86
2017-12-24,74
2017-12-31,80
2018-01-07,95
2018-01-14,88
2018-01-21,94
2018-01-28,97
2018-02-04,93
2018-02-11,94
2018-02-18,89
2018-02-25,97
2018-03-04,99
2018-03-11,100
2018-03-18,94
2018-03-25,91
2018-04-01,100
2018-04-08,99
2018-04-15,99
2018-04-22,99
2018-04-29,90
2018-05-06,93
2018-05-13,94
2018-05-20,99
2018-05-27,90
2018-06-03,96
2018-06-10,99
2018-06-17,92
2018-06-24,96
2018-07-01,97
2018-07-08,97
2018-07-15,92
2018-07-22,95
2018-07-29,93
2018-08-05,87
2018-08-12,85
2018-08-19,87
2018-08-26,84
2018-09-02,83
2018-09-09,89
2018-09-16,86
2018-09-23,82
2018-09-30,79
2018-10-07,82
2018-10-14,82
2018-10-21,80
2018-10-28,80
2018-11-04,80
2018-11-11,82
2018-11-18,75
2018-11-25,79
2018-12-02,78
2018-12-09,78
2018-12-16,73
2018-12-23,58
2018-12-30,64
2019-01-06,79
2019-01-13,81
2019-01-20,80
2019-01-27,77
2019-02-03,79
2019-02-10,80
2019-02-17,79
2019-02-24,76
2019-03-03,74
2019-03-10,76
2019-03-17,81
2019-03-24,83
2019-03-31,83
2019-04-07,78
2019-04-14,77
2019-04-21,82
2019-04-28,79
2019-05-05,83
2019-05-12,88
2019-05-19,88
2019-05-26,84
2019-06-02,89
2019-06-09,87
2019-06-16,86
2019-06-23,87
2019-06-30,89
2019-07-07,90
2019-07-14,91
2019-07-21,95
2019-07-28,91
2019-08-04,88
2019-08-11,91
2019-08-18,93
2019-08-25,88
2019-09-01,87
2019-09-08,92
2019-09-15,89
2019-09-22,87
2019-09-29,90
2019-10-06,82
2019-10-13,86
2019-10-20,84
2019-10-27,77
2019-11-03,82
2019-11-10,77
2019-11-17,77
2019-11-24,73
2019-12-01,78
2019-12-08,78
2019-12-15,76
2019-12-22,57
2019-12-29,60
2020-01-05,73
2020-01-12,78
2020-01-19,80
2020-01-26,79
2020-02-02,81
2020-02-09,83
2020-02-16,81
2020-02-23,77
2020-03-01,76
2020-03-08,65
2020-03-15,45
2020-03-22,39
2020-03-29,39
2020-04-05,43
2020-04-12,41
2020-04-19,45
2020-04-26,46
2020-05-03,52
2020-05-10,52
2020-05-17,54
2020-05-24,58
2020-05-31,58
2020-06-07,62
2020-06-14,66
2020-06-21,67
2020-06-28,69
2020-07-05,71
2020-07-12,72
2020-07-19,75
2020-07-26,72
2020-08-02,71
2020-08-09,68
2020-08-16,70
2020-08-23,68
2020-08-30,67
2020-09-06,72
2020-09-13,71
2020-09-20,63
2020-09-27,64
2020-10-04,62
2020-10-11,57
2020-10-18,59
2020-10-25,52
2020-11-01,49
2020-11-08,52
2020-11-15,52
2020-11-22,49
2020-11-29,48
2020-12-06,49
2020-12-13,51
2020-12-20,40
2020-12-27,44
2021-01-03,49
2021-01-10,52
2021-01-17,51
2021-01-24,54
2021-01-31,54
2021-02-07,53
2021-02-14,55
2021-02-21,55
2021-02-28,55
2021-03-07,57
2021-03-14,53
2021-03-21,55
2021-03-28,55
2021-04-04,57
2021-04-11,59
2021-04-18,58
2021-04-25,56
2021-05-02,58
2021-05-09,61
2021-05-16,61
2021-05-23,62
2021-05-30,61
2021-06-06,65
2021-06-13,65
2021-06-20,67
2021-06-27,67
2021-07-04,66
2021-07-11,70
2021-07-18,73
2021-07-25,69
2021-08-01,65
2021-08-08,69
2021-08-15,60
2021-08-22,68
2021-08-29,65
2021-09-05,64
2021-09-12,63
2021-09-19,67
2021-09-26,56
2021-10-03,60
2021-10-10,61
2021-10-17,59
2021-10-24,59
2021-10-31,54
2021-11-07,56
2021-11-14,60
2021-11-21,57
2021-11-28,58
2021-12-05,57
2021-12-12,57
2021-12-19,50
2021-12-26,48
2022-01-02,62
2022-01-09,67
2022-01-16,62
2022-01-23,61
2022-01-30,69
2022-02-06,76
2022-02-13,66
2022-02-20,73
2022-02-27,74
2022-03-06,70
2022-03-13,73
2022-03-20,73
2022-03-27,74
2022-04-03,78
2022-04-10,72
2022-04-17,76
2022-04-24,76
2022-05-01,78
2022-05-08,80
2022-05-15,79
2022-05-22,76
2022-05-29,78
2022-06-05,81
2022-06-12,79
2022-06-19,80
2022-06-26,80
2022-07-03,78
2022-07-10,81
2022-07-17,82
2022-07-24,77
2022-07-31,82
2022-08-07,81
2022-08-14,78
2022-08-21,80
2022-08-28,76
2022-09-04,75
2022-09-11,76
2022-09-18,73
2022-09-25,74
2022-10-02,73
2022-10-09,74
2022-10-16,70
2022-10-23,71
2022-10-30,69
2022-11-06,71
2022-11-13,71
2022-11-20,61
