Category: All categories

Week,bad bunny: (Worldwide)
2017-12-03,25
2017-12-10,21
2017-12-17,23
2017-12-24,22
2017-12-31,20
2018-01-07,20
2018-01-14,22
2018-01-21,23
2018-01-28,19
2018-02-04,18
2018-02-11,22
2018-02-18,30
2018-02-25,30
2018-03-04,26
2018-03-11,25
2018-03-18,27
2018-03-25,23
2018-04-01,22
2018-04-08,24
2018-04-15,22
2018-04-22,23
2018-04-29,23
2018-05-06,22
2018-05-13,20
2018-05-20,20
2018-05-27,21
2018-06-03,17
2018-06-10,17
2018-06-17,17
2018-06-24,19
2018-07-01,18
2018-07-08,18
2018-07-15,17
2018-07-22,19
2018-07-29,17
2018-08-05,16
2018-08-12,16
2018-08-19,15
2018-08-26,15
2018-09-02,14
2018-09-09,12
2018-09-16,11
2018-09-23,14
2018-09-30,12
2018-10-07,20
2018-10-14,19
2018-10-21,14
2018-10-28,14
2018-11-04,13
2018-11-11,13
2018-11-18,13
2018-11-25,11
2018-12-02,12
2018-12-09,10
2018-12-16,13
2018-12-23,20
2018-12-30,16
2019-01-06,14
2019-01-13,13
2019-01-20,13
2019-01-27,12
2019-02-03,11
2019-02-10,13
2019-02-17,13
2019-02-24,18
2019-03-03,12
2019-03-10,13
2019-03-17,11
2019-03-24,10
2019-03-31,9
2019-04-07,10
2019-04-14,10
2019-04-21,14
2019-04-28,13
2019-05-05,10
2019-05-12,9
2019-05-19,8
2019-05-26,8
2019-06-02,9
2019-06-09,11
2019-06-16,10
2019-06-23,12
2019-06-30,14
2019-07-07,13
2019-07-14,13
2019-07-21,14
2019-07-28,12
2019-08-04,12
2019-08-11,12
2019-08-18,11
2019-08-25,11
2019-09-01,10
2019-09-08,9
2019-09-15,8
2019-09-22,9
2019-09-29,8
2019-10-06,8
2019-10-13,10
2019-10-20,9
2019-10-27,8
2019-11-03,8
2019-11-10,10
2019-11-17,13
2019-11-24,10
2019-12-01,9
2019-12-08,8
2019-12-15,7
2019-12-22,8
2019-12-29,8
2020-01-05,7
2020-01-12,7
2020-01-19,7
2020-01-26,12
2020-02-02,21
2020-02-09,10
2020-02-16,8
2020-02-23,19
2020-03-01,34
2020-03-08,26
2020-03-15,16
2020-03-22,23
2020-03-29,27
2020-04-05,15
2020-04-12,12
2020-04-19,11
2020-04-26,11
2020-05-03,12
2020-05-10,17
2020-05-17,12
2020-05-24,11
2020-05-31,9
2020-06-07,9
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,12
2020-07-12,9
2020-07-19,9
2020-07-26,8
2020-08-02,8
2020-08-09,7
2020-08-16,7
2020-08-23,7
2020-08-30,7
2020-09-06,7
2020-09-13,8
2020-09-20,22
2020-09-27,31
2020-10-04,11
2020-10-11,12
2020-10-18,9
2020-10-25,11
2020-11-01,11
2020-11-08,11
2020-11-15,12
2020-11-22,36
2020-11-29,22
2020-12-06,14
2020-12-13,12
2020-12-20,12
2020-12-27,13
2021-01-03,11
2021-01-10,9
2021-01-17,9
2021-01-24,9
2021-01-31,15
2021-02-07,10
2021-02-14,12
2021-02-21,20
2021-02-28,11
2021-03-07,14
2021-03-14,19
2021-03-21,14
2021-03-28,12
2021-04-04,14
2021-04-11,75
2021-04-18,22
2021-04-25,12
2021-05-02,9
2021-05-09,8
2021-05-16,8
2021-05-23,10
2021-05-30,16
2021-06-06,16
2021-06-13,11
2021-06-20,12
2021-06-27,13
2021-07-04,14
2021-07-11,11
2021-07-18,10
2021-07-25,9
2021-08-01,14
2021-08-08,9
2021-08-15,12
2021-08-22,10
2021-08-29,9
2021-09-05,8
2021-09-12,9
2021-09-19,11
2021-09-26,9
2021-10-03,10
2021-10-10,9
2021-10-17,8
2021-10-24,8
2021-10-31,9
2021-11-07,13
2021-11-14,11
2021-11-21,10
2021-11-28,10
2021-12-05,13
2021-12-12,17
2021-12-19,12
2021-12-26,15
2022-01-02,14
2022-01-09,15
2022-01-16,13
2022-01-23,100
2022-01-30,50
2022-02-06,63
2022-02-13,36
2022-02-20,27
2022-02-27,24
2022-03-06,22
2022-03-13,18
2022-03-20,19
2022-03-27,16
2022-04-03,16
2022-04-10,14
2022-04-17,15
2022-04-24,18
2022-05-01,46
2022-05-08,40
2022-05-15,30
2022-05-22,27
2022-05-29,26
2022-06-05,25
2022-06-12,24
2022-06-19,25
2022-06-26,34
2022-07-03,38
2022-07-10,25
2022-07-17,26
2022-07-24,33
2022-07-31,40
2022-08-07,42
2022-08-14,41
2022-08-21,40
2022-08-28,51
2022-09-04,36
2022-09-11,30
2022-09-18,30
2022-09-25,32
2022-10-02,28
2022-10-09,21
2022-10-16,23
2022-10-23,26
2022-10-30,24
2022-11-06,30
2022-11-13,35
2022-11-20,25
