Category: All categories

Week,eminem: (Worldwide)
2017-12-03,17
2017-12-10,31
2017-12-17,32
2017-12-24,22
2017-12-31,15
2018-01-07,16
2018-01-14,13
2018-01-21,12
2018-01-28,24
2018-02-04,14
2018-02-11,14
2018-02-18,12
2018-02-25,11
2018-03-04,11
2018-03-11,11
2018-03-18,11
2018-03-25,10
2018-04-01,10
2018-04-08,9
2018-04-15,11
2018-04-22,10
2018-04-29,9
2018-05-06,9
2018-05-13,8
2018-05-20,14
2018-05-27,14
2018-06-03,12
2018-06-10,10
2018-06-17,9
2018-06-24,10
2018-07-01,13
2018-07-08,14
2018-07-15,10
2018-07-22,9
2018-07-29,8
2018-08-05,9
2018-08-12,9
2018-08-19,9
2018-08-26,34
2018-09-02,100
2018-09-09,66
2018-09-16,47
2018-09-23,23
2018-09-30,18
2018-10-07,18
2018-10-14,22
2018-10-21,15
2018-10-28,13
2018-11-04,11
2018-11-11,11
2018-11-18,11
2018-11-25,12
2018-12-02,13
2018-12-09,12
2018-12-16,11
2018-12-23,11
2018-12-30,11
2019-01-06,10
2019-01-13,10
2019-01-20,10
2019-01-27,10
2019-02-03,10
2019-02-10,11
2019-02-17,13
2019-02-24,12
2019-03-03,10
2019-03-10,9
2019-03-17,9
2019-03-24,9
2019-03-31,8
2019-04-07,8
2019-04-14,8
2019-04-21,8
2019-04-28,10
2019-05-05,9
2019-05-12,8
2019-05-19,8
2019-05-26,10
2019-06-02,15
2019-06-09,8
2019-06-16,8
2019-06-23,9
2019-06-30,8
2019-07-07,9
2019-07-14,9
2019-07-21,9
2019-07-28,8
2019-08-04,8
2019-08-11,8
2019-08-18,8
2019-08-25,8
2019-09-01,8
2019-09-08,8
2019-09-15,8
2019-09-22,8
2019-09-29,8
2019-10-06,7
2019-10-13,9
2019-10-20,8
2019-10-27,9
2019-11-03,8
2019-11-10,7
2019-11-17,8
2019-11-24,7
2019-12-01,8
2019-12-08,24
2019-12-15,14
2019-12-22,11
2019-12-29,9
2020-01-05,8
2020-01-12,24
2020-01-19,25
2020-01-26,16
2020-02-02,15
2020-02-09,37
2020-02-16,13
2020-02-23,12
2020-03-01,11
2020-03-08,14
2020-03-15,12
2020-03-22,10
2020-03-29,10
2020-04-05,10
2020-04-12,9
2020-04-19,10
2020-04-26,10
2020-05-03,9
2020-05-10,9
2020-05-17,9
2020-05-24,10
2020-05-31,9
2020-06-07,8
2020-06-14,8
2020-06-21,9
2020-06-28,8
2020-07-05,11
2020-07-12,9
2020-07-19,8
2020-07-26,8
2020-08-02,8
2020-08-09,7
2020-08-16,9
2020-08-23,7
2020-08-30,8
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,8
2020-10-18,7
2020-10-25,7
2020-11-01,7
2020-11-08,7
2020-11-15,7
2020-11-22,7
2020-11-29,7
2020-12-06,7
2020-12-13,12
2020-12-20,13
2020-12-27,11
2021-01-03,9
2021-01-10,8
2021-01-17,8
2021-01-24,8
2021-01-31,7
2021-02-07,7
2021-02-14,7
2021-02-21,8
2021-02-28,10
2021-03-07,12
2021-03-14,9
2021-03-21,8
2021-03-28,8
2021-04-04,8
2021-04-11,8
2021-04-18,8
2021-04-25,8
2021-05-02,8
2021-05-09,7
2021-05-16,9
2021-05-23,9
2021-05-30,8
2021-06-06,7
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,7
2021-07-11,7
2021-07-18,7
2021-07-25,7
2021-08-01,7
2021-08-08,11
2021-08-15,8
2021-08-22,7
2021-08-29,7
2021-09-05,7
2021-09-12,7
2021-09-19,7
2021-09-26,10
2021-10-03,8
2021-10-10,8
2021-10-17,8
2021-10-24,8
2021-10-31,7
2021-11-07,7
2021-11-14,7
2021-11-21,8
2021-11-28,8
2021-12-05,7
2021-12-12,7
2021-12-19,7
2021-12-26,7
2022-01-02,8
2022-01-09,8
2022-01-16,9
2022-01-23,9
2022-01-30,9
2022-02-06,10
2022-02-13,48
2022-02-20,13
2022-02-27,10
2022-03-06,9
2022-03-13,8
2022-03-20,8
2022-03-27,8
2022-04-03,8
2022-04-10,8
2022-04-17,9
2022-04-24,8
2022-05-01,8
2022-05-08,7
2022-05-15,7
2022-05-22,8
2022-05-29,8
2022-06-05,7
2022-06-12,8
2022-06-19,9
2022-06-26,9
2022-07-03,9
2022-07-10,9
2022-07-17,8
2022-07-24,8
2022-07-31,10
2022-08-07,11
2022-08-14,12
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,8
2022-09-18,7
2022-09-25,8
2022-10-02,7
2022-10-09,8
2022-10-16,13
2022-10-23,10
2022-10-30,9
2022-11-06,11
2022-11-13,10
2022-11-20,10
