Category: All categories

Week,weather: (Worldwide)
2021-11-28,64
2021-12-05,68
2021-12-12,67
2021-12-19,69
2021-12-26,81
2022-01-02,85
2022-01-09,74
2022-01-16,76
2022-01-23,73
2022-01-30,86
2022-02-06,62
2022-02-13,65
2022-02-20,70
2022-02-27,58
2022-03-06,64
2022-03-13,54
2022-03-20,57
2022-03-27,58
2022-04-03,63
2022-04-10,70
2022-04-17,60
2022-04-24,59
2022-05-01,63
2022-05-08,66
2022-05-15,81
2022-05-22,79
2022-05-29,70
2022-06-05,72
2022-06-12,83
2022-06-19,84
2022-06-26,94
2022-07-03,90
2022-07-10,92
2022-07-17,100
2022-07-24,85
2022-07-31,85
2022-08-07,78
2022-08-14,84
2022-08-21,76
2022-08-28,70
2022-09-04,74
2022-09-11,71
2022-09-18,72
2022-09-25,74
2022-10-02,66
2022-10-09,68
2022-10-16,63
2022-10-23,61
2022-10-30,67
2022-11-06,64
2022-11-13,66
2022-11-20,57
