Category: All categories

Week,wallmart: (Worldwide)
2021-11-28,88
2021-12-05,86
2021-12-12,90
2021-12-19,100
2021-12-26,89
2022-01-02,68
2022-01-09,69
2022-01-16,64
2022-01-23,60
2022-01-30,62
2022-02-06,59
2022-02-13,62
2022-02-20,60
2022-02-27,60
2022-03-06,62
2022-03-13,62
2022-03-20,64
2022-03-27,61
2022-04-03,61
2022-04-10,62
2022-04-17,64
2022-04-24,62
2022-05-01,64
2022-05-08,61
2022-05-15,67
2022-05-22,67
2022-05-29,69
2022-06-05,66
2022-06-12,65
2022-06-19,67
2022-06-26,71
2022-07-03,69
2022-07-10,72
2022-07-17,70
2022-07-24,69
2022-07-31,70
2022-08-07,72
2022-08-14,72
2022-08-21,66
2022-08-28,69
2022-09-04,70
2022-09-11,61
2022-09-18,68
2022-09-25,66
2022-10-02,60
2022-10-09,67
2022-10-16,64
2022-10-23,68
2022-10-30,71
2022-11-06,74
2022-11-13,85
2022-11-20,82
