Category: All categories

Week,ed sheeran: (Worldwide)
2021-11-28,82
2021-12-05,88
2021-12-12,82
2021-12-19,100
2021-12-26,96
2022-01-02,68
2022-01-09,62
2022-01-16,59
2022-01-23,55
2022-01-30,58
2022-02-06,75
2022-02-13,68
2022-02-20,58
2022-02-27,56
2022-03-06,61
2022-03-13,67
2022-03-20,78
2022-03-27,67
2022-04-03,77
2022-04-10,60
2022-04-17,70
2022-04-24,73
2022-05-01,67
2022-05-08,62
2022-05-15,72
2022-05-22,72
2022-05-29,70
2022-06-05,83
2022-06-12,73
2022-06-19,69
2022-06-26,75
2022-07-03,73
2022-07-10,73
2022-07-17,66
2022-07-24,61
2022-07-31,68
2022-08-07,71
2022-08-14,58
2022-08-21,72
2022-08-28,65
2022-09-04,54
2022-09-11,61
2022-09-18,53
2022-09-25,55
2022-10-02,61
2022-10-09,64
2022-10-16,49
2022-10-23,48
2022-10-30,46
2022-11-06,43
2022-11-13,42
2022-11-20,44
