Category: All categories

Week,justin bieber: (Worldwide)
2021-11-28,37
2021-12-05,34
2021-12-12,32
2021-12-19,32
2021-12-26,34
2022-01-02,29
2022-01-09,28
2022-01-16,29
2022-01-23,29
2022-01-30,30
2022-02-06,32
2022-02-13,36
2022-02-20,37
2022-02-27,39
2022-03-06,34
2022-03-13,38
2022-03-20,45
2022-03-27,48
2022-04-03,54
2022-04-10,43
2022-04-17,41
2022-04-24,43
2022-05-01,39
2022-05-08,36
2022-05-15,31
2022-05-22,38
2022-05-29,32
2022-06-05,95
2022-06-12,100
2022-06-19,40
2022-06-26,36
2022-07-03,33
2022-07-10,29
2022-07-17,29
2022-07-24,27
2022-07-31,34
2022-08-07,31
2022-08-14,27
2022-08-21,26
2022-08-28,32
2022-09-04,78
2022-09-11,28
2022-09-18,23
2022-09-25,27
2022-10-02,26
2022-10-09,24
2022-10-16,27
2022-10-23,23
2022-10-30,23
2022-11-06,23
2022-11-13,21
2022-11-20,20
