Category: All categories

Week,taylor swift: (Worldwide)
2021-11-28,23
2021-12-05,20
2021-12-12,23
2021-12-19,18
2021-12-26,19
2022-01-02,18
2022-01-09,17
2022-01-16,17
2022-01-23,19
2022-01-30,17
2022-02-06,18
2022-02-13,19
2022-02-20,16
2022-02-27,15
2022-03-06,14
2022-03-13,15
2022-03-20,15
2022-03-27,17
2022-04-03,18
2022-04-10,17
2022-04-17,19
2022-04-24,17
2022-05-01,20
2022-05-08,17
2022-05-15,29
2022-05-22,17
2022-05-29,14
2022-06-05,14
2022-06-12,14
2022-06-19,17
2022-06-26,17
2022-07-03,16
2022-07-10,15
2022-07-17,16
2022-07-24,16
2022-07-31,21
2022-08-07,16
2022-08-14,16
2022-08-21,15
2022-08-28,34
2022-09-04,20
2022-09-11,17
2022-09-18,18
2022-09-25,20
2022-10-02,20
2022-10-09,20
2022-10-16,70
2022-10-23,63
2022-10-30,66
2022-11-06,42
2022-11-13,100
2022-11-20,54
