Category: All categories

Week,drake: (Worldwide)
2021-11-28,54
2021-12-05,72
2021-12-12,53
2021-12-19,53
2021-12-26,52
2022-01-02,52
2022-01-09,88
2022-01-16,60
2022-01-23,55
2022-01-30,65
2022-02-06,54
2022-02-13,66
2022-02-20,53
2022-02-27,52
2022-03-06,51
2022-03-13,50
2022-03-20,55
2022-03-27,47
2022-04-03,49
2022-04-10,54
2022-04-17,56
2022-04-24,55
2022-05-01,50
2022-05-08,51
2022-05-15,45
2022-05-22,46
2022-05-29,47
2022-06-05,46
2022-06-12,78
2022-06-19,73
2022-06-26,55
2022-07-03,52
2022-07-10,58
2022-07-17,54
2022-07-24,49
2022-07-31,53
2022-08-07,63
2022-08-14,52
2022-08-21,52
2022-08-28,54
2022-09-04,48
2022-09-11,51
2022-09-18,47
2022-09-25,48
2022-10-02,45
2022-10-09,51
2022-10-16,58
2022-10-23,60
2022-10-30,100
2022-11-06,90
2022-11-13,63
2022-11-20,63
